Workspace,Theme Group,Original Report Name,Standardized Report Name,Report ID,Report URL
Forma 8 Nicamex Dev,Forma 8 Reporting,Transaction B1+Calendar,Transactions and Calendar Analysis,c3ed6df7-23fb-4d82-a2c1-9fe33ea6b01d,https://app.powerbi.com/groups/29b621ba-908d-4ac8-87f5-79d8a3f46f77/reports/c3ed6df7-23fb-4d82-a2c1-9fe33ea6b01d
My workspace,General Business Reporting,BW USA cost analysis,BW USA Cost Analysis,427853fa-b63c-4170-ab1d-dfb06f15e718,https://app.powerbi.com/reports/427853fa-b63c-4170-ab1d-dfb06f15e718
Forma 8 Panimex Dev,Forma 8 Reporting,F8_Panimex,Forma 8 Panimex Overview,46c72fcd-ffcc-4988-a11c-9464ab95749a,https://app.powerbi.com/groups/8b960b77-6a0c-4fa4-8e75-c7c850dad745/reports/46c72fcd-ffcc-4988-a11c-9464ab95749a
Microsoft Fabric Capacity Metrics 20/05/2025 08.13.57,Governance and Platform Insights,Fabric Capacity Metrics,Fabric Capacity Metrics,ac174945-8c35-441c-9446-cbe10571dbf9,https://app.powerbi.com/groups/41f38b46-a69a-43cc-b062-64f26588edcb/reports/ac174945-8c35-441c-9446-cbe10571dbf9
My workspace,Governance and Platform Insights,OneLake catalog governance report (automatically generated),OneLake Catalog Governance Report,932dfdb7-4325-4512-8b8d-eede323ad5d3,https://app.powerbi.com/reports/932dfdb7-4325-4512-8b8d-eede323ad5d3
Forma 8 Panymex,Forma 8 Reporting,F8_Panymex ,Forma 8 Panimex Overview,ad4e3332-763b-4a8b-93a7-eb1c8b15b917,https://app.powerbi.com/groups/142669c3-fcb2-4854-b996-61063fb0b1b6/reports/ad4e3332-763b-4a8b-93a7-eb1c8b15b917
My workspace,Import and Export Analytics,Interactive map Imports EU FBS,EU FBS Import Map,70c5fec4-77e9-43a3-b759-a6500798e5b2,https://app.powerbi.com/reports/70c5fec4-77e9-43a3-b759-a6500798e5b2
Forma 8 Salvimex,Forma 8 Reporting,F8_Salvimex,Forma 8 Salvimex Overview,b1b4f3cf-adab-43ef-80b7-f1d5ddc37328,https://app.powerbi.com/groups/382a07ce-4b6b-438e-893c-1fe420c241f1/reports/b1b4f3cf-adab-43ef-80b7-f1d5ddc37328
Forma 8 Salvimex Dev,Forma 8 Reporting,F8_Salvimex,Forma 8 Salvimex Overview,59c5c7d0-fc17-4e60-a5a9-7cc2e0c268fd,https://app.powerbi.com/groups/53cee649-0cc4-49d9-8395-fcd62aff846d/reports/59c5c7d0-fc17-4e60-a5a9-7cc2e0c268fd
Test1,Forma 8 Reporting,test_F8,Forma 8 Test Report,8940d61a-9ab4-472a-bea1-9874999e1ed6,https://app.powerbi.com/groups/14b939e0-dd5b-4ddc-af74-f47cc2e54bfe/reports/8940d61a-9ab4-472a-bea1-9874999e1ed6
BI BW BPO Production,French Reporting,Production KPI,Production Performance Overview,b7f6e6f2-0066-4c3b-9b22-798ffb2a5389,https://app.powerbi.com/groups/ec43198a-709a-499a-b5a5-bdb25ebca6ae/reports/b7f6e6f2-0066-4c3b-9b22-798ffb2a5389
BI BW BPO Production,French Reporting,Production KPI V1,Production Performance Overview v1,020d4598-3259-47fc-a5b7-a7b21ed42815,https://app.powerbi.com/groups/ec43198a-709a-499a-b5a5-bdb25ebca6ae/reports/020d4598-3259-47fc-a5b7-a7b21ed42815
BI BW BPO Purchasing,French Reporting,BPO KPI Purchase,BPO Purchasing Performance Overview,5655a0f8-6e99-4cc0-9437-c66d4d28218a,https://app.powerbi.com/groups/3b532faa-e612-4bee-90ec-81beec73c541/reports/5655a0f8-6e99-4cc0-9437-c66d4d28218a
BI BW Exp Status,French Reporting,BI_BW_Exp_Status,Export Status Overview,b702814c-0469-4161-9931-66f99e773084,https://app.powerbi.com/groups/ea58b6e8-680b-4c4f-ada5-a47f27fd2e79/reports/b702814c-0469-4161-9931-66f99e773084
BI BW KPI Supply,French Reporting,KPI Supply,Supply Chain KPI Overview,2e754ce9-bf2d-481e-9bb8-b53e5e4a587f,https://app.powerbi.com/groups/8262ceaf-2c26-4f00-89c9-701e53068196/reports/2e754ce9-bf2d-481e-9bb8-b53e5e4a587f
BI BW KPI Supply,French Reporting,KPI Supply V2,Supply Chain KPI Overview v2,996ffbcd-bd35-4fdd-90a7-ae29a32799e1,https://app.powerbi.com/groups/8262ceaf-2c26-4f00-89c9-701e53068196/reports/996ffbcd-bd35-4fdd-90a7-ae29a32799e1
BI BW KPI Supply,French Reporting,KPI Supply V3,Supply Chain KPI Overview v3,65736602-47ed-4cb4-a0e3-dc78a2a594ad,https://app.powerbi.com/groups/8262ceaf-2c26-4f00-89c9-701e53068196/reports/65736602-47ed-4cb4-a0e3-dc78a2a594ad
BI BW BPO Sales,French Reporting,Report Usage Metrics Report,Report Usage Metrics,b0df5bd3-1ec4-4004-949e-5669c1a158a9,https://app.powerbi.com/groups/fedcef2b-90da-43e9-a6a2-40f638c6d9e0/reports/b0df5bd3-1ec4-4004-949e-5669c1a158a9
BI BW Finances,French Reporting,Report Usage Metrics Report,Report Usage Metrics,84123a4b-1243-4eb3-9fbf-adce4c888447,https://app.powerbi.com/groups/56056b1e-7673-4ad2-9690-857d3b4ea009/reports/84123a4b-1243-4eb3-9fbf-adce4c888447
BI BW KPI Supply,French Reporting,Report Usage Metrics Report,Report Usage Metrics,4d451c26-ccc9-46a1-96bd-375214c113cd,https://app.powerbi.com/groups/8262ceaf-2c26-4f00-89c9-701e53068196/reports/4d451c26-ccc9-46a1-96bd-375214c113cd
BI BW StockbyMaterial,French Reporting,Report Usage Metrics Report,Report Usage Metrics,1daf0c51-6c7d-416b-b18f-7f2d0da5cd2f,https://app.powerbi.com/groups/7419ffb7-8cbf-4081-a586-19f8c22de227/reports/1daf0c51-6c7d-416b-b18f-7f2d0da5cd2f
BI BW BPO Sales,French Reporting,BI_BW_BPO_Sales V2,BPO Sales Performance Overview v2,7af7e7e4-a5ae-421c-9647-492c8dfc3389,https://app.powerbi.com/groups/fedcef2b-90da-43e9-a6a2-40f638c6d9e0/reports/7af7e7e4-a5ae-421c-9647-492c8dfc3389
BI BW DIRECT SALES - SALES REPR,French Reporting,DIRECT SALES - SALES REP,Direct Sales Representative Performance,33e03ac3-13d8-4b0c-be1b-363bbcd7e144,https://app.powerbi.com/groups/e8efd8f0-e81b-4393-8557-7e1ae97ecc5a/reports/33e03ac3-13d8-4b0c-be1b-363bbcd7e144
BI Catalog,Governance and Platform Insights,BI Catalog & Health,BI Catalog and Health Overview,85d24dfd-5010-45cc-b157-ec7a86aab939,https://app.powerbi.com/groups/4d42d20e-174e-47fd-8c36-02148811a7f9/reports/85d24dfd-5010-45cc-b157-ec7a86aab939
Import-Export analysis,Import and Export Analytics,Interactive map Imports EU FBS,EU FBS Import Map,3efebdcf-7981-4919-a2d1-16b217cc81ab,https://app.powerbi.com/groups/915ee835-9103-4144-94d4-492aa6485de9/reports/3efebdcf-7981-4919-a2d1-16b217cc81ab
BI BW StockbyMaterial,Inventory and Supply Chain,Stock and consommation,Stock and Consumption Overview,4fcf0e80-7f0d-4194-a9eb-bc9f158b2b74,https://app.powerbi.com/groups/7419ffb7-8cbf-4081-a586-19f8c22de227/reports/4fcf0e80-7f0d-4194-a9eb-bc9f158b2b74
BW USA,Inventory and Supply Chain,BW_USA_Inventory,BW USA Inventory Overview,3fce1d57-c328-419a-903c-b6b5507eed7a,https://app.powerbi.com/groups/c16ba4db-024a-4e11-93df-6e2b2be02034/reports/3fce1d57-c328-419a-903c-b6b5507eed7a
BW USA Dev,Inventory and Supply Chain,Inv_fish,Fish Inventory Overview,17f6d9e6-ec80-4e06-a7eb-a03b53b7b4d7,https://app.powerbi.com/groups/39ea5859-749c-4187-aa03-fd22295ef4d6/reports/17f6d9e6-ec80-4e06-a7eb-a03b53b7b4d7
Inventory & Supply Chain,Inventory and Supply Chain,Global Inventory dashboard,Global FBS Inventory Overview,a55f79e7-3e41-47e8-825c-e7dfa479eb06,https://app.powerbi.com/groups/566d52f1-a895-4f06-9080-aae1b0c6fe04/reports/a55f79e7-3e41-47e8-825c-e7dfa479eb06
Inventory & Supply Chain,Inventory and Supply Chain,Inventroy_CAM_SAM,CAM and SAM Inventory Overview,3a223ee9-3311-41ec-a941-6ecd748e4b29,https://app.powerbi.com/groups/566d52f1-a895-4f06-9080-aae1b0c6fe04/reports/3a223ee9-3311-41ec-a941-6ecd748e4b29
Inventory & Supply Chain,Inventory and Supply Chain,Raw&Filtered Serum inventory,Global FBS Inventory Overview,24bf1149-085c-4a32-abcd-9e933a77f9a5,https://app.powerbi.com/groups/566d52f1-a895-4f06-9080-aae1b0c6fe04/reports/24bf1149-085c-4a32-abcd-9e933a77f9a5
Inventory FR and Pivot Sales,Inventory and Supply Chain,Inventory_FR,BW FR Inventory Overview,e277474d-01b5-4a61-9e7f-503e73960c69,https://app.powerbi.com/groups/889ff3ea-d00f-46eb-b418-db66c36a011d/reports/e277474d-01b5-4a61-9e7f-503e73960c69
ProtenaNI,Operational Performance,Budget Dashboard,Budget Overview Prot Ni,8d7e2d32-dba3-406d-b42e-5790e9134cac,https://app.powerbi.com/groups/2f79a991-b0a5-417f-b9e9-d83e68f14efa/reports/8d7e2d32-dba3-406d-b42e-5790e9134cac
QC FR USA and Inv FR,Quality and Compliance,CoA_BW_USA,BW USA Certificate of Analysis Overview,9e6cfd98-7424-4094-94df-41c123a318a9,https://app.powerbi.com/groups/5b3b38d0-4f4d-4218-a76b-c02e0ca4cc67/reports/9e6cfd98-7424-4094-94df-41c123a318a9
Inventory FR and Pivot Sales,Sales Performance,Biowest_FR_Sales_Pivot,Biowest France Sales Pivot Analysis,a2471324-c9a2-4d4f-9529-03f251a259ca,https://app.powerbi.com/groups/889ff3ea-d00f-46eb-b418-db66c36a011d/reports/a2471324-c9a2-4d4f-9529-03f251a259ca
BI BW Finances,Sales Performance,KPI Gross Margin V2,BW FR Sales and Gross Margin Overview,d9af3075-feb7-45a2-b378-43cca7914c62,https://app.powerbi.com/groups/56056b1e-7673-4ad2-9690-857d3b4ea009/reports/d9af3075-feb7-45a2-b378-43cca7914c62
BI BW Sales,Sales Performance,Biowest Sales Analysis V2,Biowest Sales Analysis v2,6c623d42-73bc-4896-b573-8f67542d1c25,https://app.powerbi.com/groups/94b71e0d-fe8d-4f8a-bbdc-19651515fac4/reports/6c623d42-73bc-4896-b573-8f67542d1c25
BNB,Sales Performance,BNB_Sales_Gross_Margin,BNB Sales and Gross Margin Overview,58e8b0e5-4e5a-46f1-8a2b-ede4bce5b93f,https://app.powerbi.com/groups/69a30478-fff0-43e5-96ad-0ceb176209bb/reports/58e8b0e5-4e5a-46f1-8a2b-ede4bce5b93f
BW USA,Sales Performance,BW_USA_Sales_Gross_Margin,BW USA Sales and Gross Margin Overview,e8fde72a-2e66-492f-b1b5-6bbdb7558c9d,https://app.powerbi.com/groups/c16ba4db-024a-4e11-93df-6e2b2be02034/reports/e8fde72a-2e66-492f-b1b5-6bbdb7558c9d
MAYIMEX,Sales Performance,MAYIMEX_Sales_Gross_Margin,Mayimex Sales and Gross Margin Overview,07c9551b-1a9a-4947-9882-b581cad89f26,https://app.powerbi.com/groups/6013dc0b-66de-4784-a87f-7f3322b8e362/reports/07c9551b-1a9a-4947-9882-b581cad89f26
OSI,Sales Performance,OSI_Sales_Gross_Margin,OSI Sales and Gross Margin Overview,e519217a-af75-4481-9437-334fabbd52ae,https://app.powerbi.com/groups/8c13bfaf-746a-4f7b-b54a-6ae9e3c15eec/reports/e519217a-af75-4481-9437-334fabbd52ae
ProtenaNI,Sales Performance,ProtenaNI_Sales_Gross_Margin,ProtenaNI Sales and Gross Margin Overview,41a8dcd3-509b-41bc-a73c-f4e56b17818d,https://app.powerbi.com/groups/2f79a991-b0a5-417f-b9e9-d83e68f14efa/reports/41a8dcd3-509b-41bc-a73c-f4e56b17818d
Sales Prot Nic Dev,Sales Performance,Sales Dashboard,Sales Performance Dashboard,4e786b54-3efd-4e20-937d-c7522313148f,https://app.powerbi.com/groups/7cd0b8d7-266a-4b19-a3fc-a6d7745cb265/reports/4e786b54-3efd-4e20-937d-c7522313148f
SCS dataset,SCS Analytics,Indicadores de Calidad LATAM,LATAM Quality Indicators,33dd4729-0b98-4124-8698-22b9b9cb0832,https://app.powerbi.com/groups/80f9a14b-3468-4db8-bdb2-45f673043b79/reports/33dd4729-0b98-4124-8698-22b9b9cb0832
SCS dataset,SCS Analytics,SCS dashboard,SCS Operations Dashboard,9dca516c-0e94-407b-adf7-ff6c9b3f2665,https://app.powerbi.com/groups/80f9a14b-3468-4db8-bdb2-45f673043b79/reports/9dca516c-0e94-407b-adf7-ff6c9b3f2665
SCS dataset,SCS Analytics,SCS_troels,SCS Analysis - Troels,376aff91-84f4-4b8f-950d-b8952553280e,https://app.powerbi.com/groups/80f9a14b-3468-4db8-bdb2-45f673043b79/reports/376aff91-84f4-4b8f-950d-b8952553280e
Test Copy SCS,SCS Analytics,Indicadores de Calidad LATAM,LATAM Quality Indicators,36e6ab46-af57-4933-85c7-bb1ae4343bc4,https://app.powerbi.com/groups/af6fd722-bef7-4e29-9595-322c3fe086be/reports/36e6ab46-af57-4933-85c7-bb1ae4343bc4
Test Copy SCS,SCS Analytics,SCS dashboard,SCS Operations Dashboard,fa560a58-9248-4775-a993-2cce67356d68,https://app.powerbi.com/groups/af6fd722-bef7-4e29-9595-322c3fe086be/reports/fa560a58-9248-4775-a993-2cce67356d68
Test Copy SCS,SCS Analytics,SCS_troels,SCS Analysis - Troels,2510e2b8-154b-44e3-bd53-8a59b6ebdd4a,https://app.powerbi.com/groups/af6fd722-bef7-4e29-9595-322c3fe086be/reports/2510e2b8-154b-44e3-bd53-8a59b6ebdd4a
SCS and B1,SCS and B1 Reporting,SCS+B1_Consolidated,SCS and B1 Consolidated Overview,4852c9e6-992f-4489-80bd-e98d3f34047c,https://app.powerbi.com/groups/6e98f341-aa2c-4336-8685-bb568971f084/reports/4852c9e6-992f-4489-80bd-e98d3f34047c
SCS and B1 APREX,SCS and B1 Reporting,APREX_SCS+B1,SCS and B1 Aprex Overview,9997892b-6bfe-4733-8531-e8d0a4f1561e,https://app.powerbi.com/groups/3cc72d66-517c-4e5d-9b38-80d872129104/reports/9997892b-6bfe-4733-8531-e8d0a4f1561e
SCS and B1 BIOGAN,SCS and B1 Reporting,BIOGAN_SCS+B1,SCS and B1 Biogan Overview,2cbbaba9-2492-40f7-ae09-88f68d00967d,https://app.powerbi.com/groups/d02bbb6f-6613-4baf-a421-324f02fa6500/reports/2cbbaba9-2492-40f7-ae09-88f68d00967d
SCS and B1 CORIMEX,SCS and B1 Reporting,CORIMEX_SCS+B1,SCS and B1 Corimex Overview,a847ac10-94f8-41e8-9416-8937957fec05,https://app.powerbi.com/groups/29965f64-6a3a-446e-b2e9-ccb277742730/reports/a847ac10-94f8-41e8-9416-8937957fec05
SCS and B1 GUAIMEX,SCS and B1 Reporting,GUAIMEX_SCS+B1,SCS and B1 Guaimex Overview,9c8d86ca-1105-48f3-8ae9-f7cf7bc468ef,https://app.powerbi.com/groups/b0a5011a-4e03-4b5d-8f7a-1353ebb77c4e/reports/9c8d86ca-1105-48f3-8ae9-f7cf7bc468ef
SCS and B1 NICAMEX,SCS and B1 Reporting,NICAMEX_SCS+B1,SCS and B1 Nicamex Overview,58eef2ea-72ef-4e04-99fd-81d58e81d913,https://app.powerbi.com/groups/5786404b-5f6e-415e-b846-ee83403fd72a/reports/58eef2ea-72ef-4e04-99fd-81d58e81d913
SCS and B1 PANIMEX,SCS and B1 Reporting,PANIMEX_SCS+B1,SCS and B1 Panimex Overview,8ff51024-6188-4388-899e-52efbc875f09,https://app.powerbi.com/groups/1f4b7731-e9cf-4dc6-a496-8885ec82f8cd/reports/8ff51024-6188-4388-899e-52efbc875f09
SCS and B1 SALVIMEX,SCS and B1 Reporting,SALVIMEX_SCS+B1,SCS and B1 Salvimex Overview,ec930607-6e5a-4d68-9be0-24879f45e940,https://app.powerbi.com/groups/0513d140-7dc6-42f9-90bc-59b0f31b215a/reports/ec930607-6e5a-4d68-9be0-24879f45e940
SCH dashboard,Testing and Development,Mi primer BI del SCH - Acopio v2,SCH Collection Overview v2,27dd820b-e32c-45f6-947d-2498b162f461,https://app.powerbi.com/groups/82f07f5d-ab20-43d0-9a50-804bd5139af7/reports/27dd820b-e32c-45f6-947d-2498b162f461
testfabric,Testing and Development,test_QB,QuickBooks Test Report,ea1ddc38-bbe2-4c67-8955-7104a0ac8843,https://app.powerbi.com/groups/fa600ff6-3b68-4b68-af30-710dc7322791/reports/ea1ddc38-bbe2-4c67-8955-7104a0ac8843
,,,,70a34f5a-3563-47ae-9c4f-2d33014790b2,https://app.powerbi.com/groups/f78e1c50-1537-49a4-a1bc-10c414e74c0f/reports/70a34f5a-3563-47ae-9c4f-2d33014790b2
,,,,20ed7476-4df4-4a0e-abdd-6a78b03c7cad,https://app.powerbi.com/groups/f51e8e9b-b41f-406d-80f3-c5be44a93766/reports/20ed7476-4df4-4a0e-abdd-6a78b03c7cad
